lat,long
-28.948,153.453
-28.95,153.44
-29.013,152.763
-29.19,151.673
-29.003,152.761
-28.579,151.046
-28.257,152.615
-28.205,152.424
-28.207,152.413
-28.196,152.362
-28.776,148.179
-28.779,148.157
-28.78,148.146
-28.767,148.177
-28.768,148.166
-28.105,150.71
-28.107,150.699
-27.581,150.022
-27.583,150.012
-27.756,147.489
-27.279,149.764
-27.039,151.156
-25.637,147.514
-25.418,148.317
-25.42,148.307
-25.41,148.305
-24.894,147.453
-24.623,149.056
-24.624,149.046
-24.6,146.317
-24.601,146.306
-24.602,146.295
-24.597,146.311
-24.598,146.3
-24.6,146.289
-24.614,145.63
-24.038,149.088
-22.963,150.409
-22.965,150.399
-23.206,145.421
-22.376,150.62
-22.367,150.618
-19.315,147.014
-19.306,147.013
-18.197,144.334
-18.181,144.378
-18.171,144.377
-18.162,144.376
-18.163,144.364
-18.16,144.369
-17.751,145.482
-15.699,144.505
-15.688,144.514
-15.689,144.504
-15.691,144.493
-15.233,144.77
-15.052,145.078
-14.223,143.651
-14.192,143.64
-13.807,143.242
-13.797,143.24
-13.749,141.602
-13.751,141.588
-13.749,141.595
-13.736,141.608
-13.738,141.594
-13.739,141.579
-13.725,141.607
-13.726,141.592
-14.266,136.891
-13.247,141.856
-13.249,141.842
-13.085,141.978
-13.086,141.965
-13.09,141.938
-13.076,141.963
-13.077,141.95
-12.94,141.67
-12.718,142.309
-12.72,142.297
-12.708,142.308
-12.677,142.092
-12.436,142.592
-12.437,142.58
-12.439,142.568
-12.44,142.557
-12.425,142.609
-12.427,142.598
-12.428,142.586
-12.43,142.574
-12.433,142.55
-12.411,142.559
-12.996,135.82
-12.879,136.218
-12.883,136.181
-12.799,136.13
-11.964,142.622
-11.966,142.611
-11.952,142.633
-11.954,142.621
-12.835,135.289
-12.671,136.468
-12.675,136.434
-12.726,135.965
-12.73,135.928
-12.777,135.326
-12.782,135.284
-11.904,142.614
-11.895,142.601
-11.897,142.589
-12.723,135.961
-12.778,135.322
-11.871,142.557
-11.873,142.545
-12.706,135.805
-11.866,142.52
-11.868,142.508
-12.689,135.803
-11.824,142.761
-11.858,142.507
-11.862,142.472
-11.864,142.46
-11.814,142.759
-11.815,142.748
-11.804,142.758
-11.827,142.203
-12.473,136.329
-12.578,135.335
-12.583,135.293
-12.587,135.251
-12.457,136.327
-12.561,135.333
-12.467,136.323
-12.579,135.331
-12.584,135.289
-12.588,135.247
-12.561,135.329
-11.684,142.435
-11.685,142.423
-11.532,142.354
-11.508,142.302
-11.509,142.29
-11.49,142.275
-12.301,135.414
-12.305,135.372
-11.494,142.164
-12.284,135.412
-11.486,142.151
-11.487,142.138
-11.487,142.157
-11.489,142.145
-11.467,142.228
-11.458,142.215
-11.46,142.203
-12.3,135.406
-12.304,135.365
-11.45,142.201
-11.451,142.189
-11.453,142.177
-12.282,135.404
-11.443,142.176
-11.444,142.163
-11.271,142.323
-11.213,142.291
-11.204,142.278
-11.197,142.271
-10.031,147.819
-9.976,147.725
-9.967,147.723
-9.89,147.876
-9.929,147.615
-9.931,147.605
-9.869,147.537
-9.776,147.767
-9.625,147.449
-9.354,149.107
-9.356,149.094
-9.346,149.093
-9.572,147.409
-9.309,147.089
-8.529,146.441
-9.142,141.927
-9.144,141.915
-9.132,141.925
-9.085,142.272
-9.132,141.931
-9.134,141.919
-9.156,141.68
-9.082,141.4
-9.084,141.388
-8.941,142.359
-9.071,141.399
-9.073,141.386
-8.25,147.15
-9.061,141.398
-9.063,141.385
-9.064,141.372
-9.05,141.396
-9.052,141.383
-9.054,141.371
-9.079,141.178
-9.069,141.177
-9.055,141.201
-9.044,141.2
-9.048,141.207
-9.05,141.194
-8.794,142.902
-8.885,142.243
-8.952,141.677
-8.948,141.627
-9.027,141.044
-9.034,140.99
-8.765,142.761
-8.796,142.53
-8.797,142.519
-8.755,142.76
-8.825,142.167
-8.892,141.656
-8.894,141.644
-8.896,141.651
-8.949,141.109
-8.87,141.611
-8.922,141.224
-8.7,142.778
-8.86,141.609
-8.866,141.561
-8.201,146.232
-8.183,146.229
-8.184,146.22
-8.802,141.651
-8.889,140.979
-8.891,140.966
-8.789,141.679
-8.884,140.985
-8.886,140.972
-8.888,140.959
-8.622,142.813
-8.632,142.741
-8.789,141.605
-8.621,142.75
-8.737,141.911
-8.838,141.166
-8.8,141.369
-8.802,141.356
-8.827,141.165
-8.829,141.152
-8.789,141.367
-8.791,141.355
-8.796,141.317
-8.798,141.304
-8.818,141.151
-8.82,141.138
-8.787,141.303
-8.808,141.149
-8.809,141.136
-8.614,142.514
-8.698,141.894
-8.804,141.095
-8.785,141.047
-8.753,141.202
-8.792,140.913
-8.803,140.832
-8.746,141.175
-8.763,141.044
-8.539,142.616
-8.54,142.606
-8.704,141.401
-8.725,141.25
-8.747,141.082
-8.749,141.069
-8.769,140.923
-8.77,140.91
-8.801,140.677
-8.714,141.249
-8.716,141.236
-8.756,140.935
-8.789,140.689
-8.79,140.675
-7.922,146.808
-7.924,146.798
-8.657,141.594
-8.75,140.894
-8.752,140.88
-8.781,140.66
-7.913,146.807
-8.658,141.508
-8.66,141.495
-8.715,141.078
-8.717,141.065
-8.734,140.932
-8.705,141.077
-8.706,141.063
-8.745,140.768
-8.694,141.075
-8.698,141.082
-8.7,141.069
-8.745,140.662
-8.625,141.459
-8.649,141.285
-8.53,142.079
-8.659,141.13
-8.684,140.946
-8.686,140.933
-8.591,141.554
-8.559,141.72
-8.675,140.849
-8.692,140.726
-8.693,140.712
-8.695,140.698
-8.661,140.792
-8.566,141.426
-8.637,140.885
-8.53,141.619
-8.534,141.595
-8.537,141.59
